indice,titulo,artista,ano,nivel_toxicidade,abuso_emocional,ciume_possessividade,dependencia,objetificacao,violencia_traicao,justificativa
10,Love Me Like You Do,Ellie Goulding,2015.0,muito baixo,False,False,False,False,False,"A letra de ""Love Me Like You Do"" é centrada no amor e acontecimentos emocionais entre duas pessoas. O eu-lírico expressa seu desejo por um relacionamento profundo com outra pessoa, sendo que não há frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Pelo contrário, a música serve como exemplo de narrativa positiva e desejo de amor, promovendo autoestima e independência."
11,Do The Bird,Dee Dee Sharp,1963.0,baixo,False,False,False,False,False,"A letra não possui frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. A música é centrada na dança e o eu-lírico convida a parceira para dançar com ele, sem nenhuma referência a dependência emocional ou submissão. Pelo contrário, a música serve como exemplo de narrativa positiva e divertida sobre uma atividade social e física, promovendo interação e diversão."
13,Cathy's Clown,Everly Brothers,1960.0,alto,False,False,False,False,False,"A letra expressa desejo de se livrar do amor e dos beijos da ex-parceira, sugerindo que a relação foi dolorosa. ""(I die each time I hear this sound / Here he comes, that's Cathy's clown)"" pode ser interpretado como uma referência ao sofrimento causado pela presença do ex-namorado. A frase ""(When you see me shed a tear / And you know that it's sincere / Don't you think it's kind of sad, that you're treating me so bad? Or don't you even care?)"" expressa dor e desespero em relação à ex-parceira. Essas frases reforçam a ideia de que o amor foi doloroso e que a ex-parceira não se importou com as emoções do eu-lírico, o que pode ser associado a um relacionamento tóxico."
14,Quarter To Three,"Gary ""U.S."" Bonds",1961.0,muito baixo,False,False,False,False,False,"A letra descreve uma experiência de dança e música, sem qualquer referência a comportamentos abusivos, possessivos ou controladores. O eu-lírico expressa felicidade e prazer em relação à música e ao baile, além de promover a interação com outras pessoas. Não há frases que validem, romantizem ou naturalizem comportamentos prejudiciais à saúde emocional. Pelo contrário, a música serve como exemplo de narrativa positiva e divertida sobre uma experiência social e musical."
15,Team,Lorde,2014.0,muito baixo,False,False,False,False,False,"A letra não apresenta frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Em vez disso, a música fala sobre a união e solidariedade entre as pessoas, independentemente de onde elas vivem ou como suas cidades parecem. Não há referências a relacionamentos tóxicos ou comportamentos negativos, o que indica uma narrativa positiva e promovendo autoestima e independência."
16,96 Tears,? and The Mysterians,1966.0,alto,False,False,False,False,False,"A letra de ""Too Many Teardrops"" expressa uma vontade intensa de vingança e ressentimento em relação ao ex-parceiro. ""(You're gonna cry 96 tears)"" pode ser interpretado como uma ameaça de dor emocional recorrente, reforçando a ideia de que o sofrimento é associado à pessoa que foi abandonada. ""(But watch out now I'm gonna get there / We'll be together For just a little while / And then I'm gonna put you Way down here)"" expressa uma intenção de dominar e humilhar o ex-parceiro, característica de relacionamentos tóxicos. ""(I'm way down here Wonderin' how I'm gonna get you But I know now / I'll just cry Cry I'll just cry)"" expressa uma baixa autoestima e dependência emocional, sugerindo que a pessoa não tem outras opções além de sofrer. ""(Night and day, yeah, all night long / 96 tears, cry, cry, cry)"" reforça a ideia de que o sofrimento é permanente e recorrente, naturalizando a dor emocional como parte da experiência pós-relacionamento tóxico."
17,I'm Easy,Keith Carradine,1976.0,baixo,False,False,False,False,False,"A letra não expressa sentimento de dependência emocional ou submissão. Em vez disso, o eu-lírico rejeita qualquer tentativa de manipulação e afirma sua autonomia. O termo ""easy"" é usado para descrever a facilidade com que ela se envolve em relacionamentos, mas não há indicação de que isso seja prejudicial à saúde emocional ou que ela esteja sendo usada. Em vez disso, o eu-lírico afirma sua capacidade de tomar decisões e controlar seus próprios sentimentos. Não há frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Pelo contrário, a música serve como exemplo de autoconhecimento e autonomia em relacionamentos."
18,Take Good Care Of Her,Adam Wade,1961.0,baixo,False,False,False,False,False,"A letra expressa tristeza e renúncia após o fim de um relacionamento. O eu-lírico aceita a perda da parceira, desejando que ela seja bem tratada pelo novo parceiro. Não há frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Pelo contrário, a música serve como exemplo de renúncia e respeito pela parceira, promovendo autoestima e independência."
19,Prayer For The Dying,Seal,1994.0,baixo,False,False,False,False,False,"A letra não possui frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Em vez disso, a música foca na superação e resiliência após experiências difíceis, reforçando a importância de se mover para frente e continuar vivendo. Não há frases que promovam dependência emocional ou submissão, o que indica uma narrativa positiva e saudável."
20,Life After You,Daughtry,2010.0,na,False,False,False,False,False,"A letra apresenta um sentimento profundo e persistente do eu-lírico por uma relação que já terminou. O eu-lírico expressa a intenção de voltar para o parceiro, mesmo sabendo que isso pode ser prejudicial à sua vida. Ao mesmo tempo, o eu-lírico reconhece que o relacionamento já foi difícil e que ele poderia ter feito erros. Essa dinâmica de retorno a um relacionamento tóxico pode ser prejudicial à saúde emocional do eu-lírico, pois reforça a dependência emocional e o sentimento de inadequação. Por outro lado, a letra também apresenta uma mensagem positiva sobre o amor e a importância da felicidade, que pode servir como incentivo para o eu-lírico a buscar relacionamentos saudáveis e significativos."
21,All I Need,Jack Wagner,1985.0,muito baixo,False,False,False,False,False,"A letra de ""All I Need"" é centrada na busca por um relacionamento saudável e significativo. O eu-lírico expressa dúvidas e cautela, mas também mostra interesse em explorar a possibilidade de uma conexão com outra pessoa. Não há frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Pelo contrário, a música serve como exemplo de narrativa positiva e cautelosa no início de um relacionamento."
22,Mysterious Ways,U2,1992.0,muito baixo,False,False,False,False,False,"A letra de ""It's Alright"" é centrada na busca de entendimento e crescimento pessoal. O eu-lírico se dirige a um personagem chamado Johnny, que está vivendo uma situação difícil e tenta encontrar soluções para seus problemas. A letra não possui frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Pelo contrário, a música serve como exemplo de narrativa positiva e promovendo autoestima e crescimento pessoal."
23,"More, More, More",Andrea True Connection,1976.0,baixo,False,False,False,False,False,"A letra não apresenta frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Em vez disso, a música expressa desejo de explorar e experimentar o relacionamento com o outro, sem nenhuma referência a dependência emocional ou submissão. A letra também não apresenta qualquer medo ou dificuldade em se afastar do relacionamento anterior, indicando que o eu-lírico está pronto para novas experiências amorosas."
24,Just Dance,Lady Gaga feat. Colby O'Donis,2009.0,muito baixo,False,False,False,False,False,"A letra de ""Just Dance"" é centrada na diversão e libertação em um ambiente noturno. O eu-lírico se encontra em uma situação confusa, mas ainda mantém um tom positivo e animado, incentivando o público a dançar e se divertir. Não há frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Pelo contrário, a música serve como exemplo de narrativa positiva e animada, promovendo diversão e libertação."
25,Let It Whip,Dazz Band,1982.0,muito baixo,False,False,False,False,False,"A letra de ""Let It Whip"" é centrada na dança e atração física entre dois indivíduos. Os versos não contêm frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. A música é uma solicitação de dança e flertes entre dois indivíduos que estão dispostos a se divertir juntos. Não há frases que suggerem dependência emocional ou submissão, o que reforça sua classificação como muito baixa."
26,Stay,The Kid Laroi and Justin Bieber,2021.0,baixo,False,False,False,False,False,"A letra não possui frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Em vez disso, a música expressa uma esperança de permanência e um desejo de manter o relacionamento, mas sem pressão ou coerção. Ao mesmo tempo, a letra reconhece que o eu-lírico não é perfeito e tem dificuldades em se afastar do outro. Por fim, a música promove uma atmosfera de relaxamento e tranquilidade, sem qualquer elemento de sofrimento ou angústia."
27,Big Girls Don't Cry,Fergie,2008.0,muito baixo,False,False,False,False,False,"A letra de ""I Hope You Know"" é centrada na auto-ajuda e autoconhecimento. O eu-lírico se concentra em encontrar clareza e paz após o fim de um relacionamento, buscando independência e crescimento pessoal. Não há frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Pelo contrário, a música serve como exemplo de narrativa positiva pós-relacionamento tóxico, promovendo autoestima e independência."
28,Collide,Howie Day,2005.0,baixo,False,False,False,False,False,"A letra não apresenta frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Em vez disso, a música expressa dúvidas e medo de uma relação, mas também a busca por conhecimento e entendimento do outro. Não há frases que sugiram dependência emocional ou submissão, o que indica uma narrativa saudável e positiva."
