indice,titulo,artista,ano,score,emotional_abuse,jealousy_possessive,dependency,violence_or_betrayal,justificativa
10,Love Me Like You Do,Ellie Goulding,2015.0,0.6,False,False,False,False,"a letra romantiza a dependência emocional e física, além de glamurizar práticas sexuais intensas. isso pode ser problemático se interpretado como validação de relacionamentos abusivos ou dinâmicas desequilibradas. além disso, a letra naturaliza o controle do parceiro sobre o outro, o que também pode ser problemático se interpretado fora do contexto de um relacionamento consensual e saudável."
11,Do The Bird,Dee Dee Sharp,1963.0,0.2,False,False,True,False,"""(come on baby, do the bird with me fly, yi, yi, yeah i, yi, yeah, baby fly your hands around wing down)"": expressa necessidade de acompanhamento e interação física, o que pode ser interpretado como dependência emocional. ""(come on were gonna work it out now hey, hey, there do the bird with might, yeah)"" e ""(come on take me to the sky above fly ,yi, yi, yeah i come on baby, we can fall in love fly, yi, yi, yeah i come on baby, shake it more and go and you'll get another turn to float)"": sug"
12,If U Seek Amy,Britney Spears,2009.0,0.5,False,False,False,False,"a letra fala sobre uma pessoa chamada amy e a busca dela em um clube, o que pode ser interpretado como uma obsessão ou dependência romântica. no entanto, não há evidências claras de abuso ou dinâmicas abusivas, portanto, é considerado um caso fraco de abuso em relacionamentos."
13,Cathy's Clown,Everly Brothers,1960.0,0.8,True,True,False,False,"""(don't want your love any more don't want your kisses, that's for sure i die each time i hear this sound here he comes, that's cathy's clown)"" expressa uma rejeição de um relacionamento e a desejação de fugir dele. ""(when you see me shed a tear and you know that it's sincere don't you think it's kind of sad, that you're treating me so bad? or don't you even care?)"" sugere que o relacionamento é abusivo e que o falante está sendo tratado de forma desrespeitosa. a letra,"
14,Quarter To Three,"Gary ""U.S."" Bonds",1961.0,0.0,False,False,False,False,"a letra fala sobre uma pessoa dançando com um músico, não há evidências de dinâmicas tóxicas ou abusivas."
15,Team,Lorde,2014.0,0.4,False,False,False,False,"a letra romantiza a vida de luxo e decadência, que pode ser interpretada como uma glamurização de relações baseadas em dor, submissão e abuso, especialmente se descontextualizada do consenso dos envolvidos. além disso, a letra naturaliza e erotiza práticas de violência e competição por amor, o que pode ser problemático se interpretado fora do contexto de relacionamentos saudáveis."
16,96 Tears,? and The Mysterians,1966.0,0.8,True,True,True,False,"""(you're way on top now since you left me you're always laughin' way down at me)"" - expressa uma forte inveja e desejo de controlar a outra pessoa. ""(but watch out now i'm gonna get there we'll be together for just a little while and then i'm gonna put you way down here and you'll start cryin' 96 tears)"" - expressa uma ameaça e desejo de controlar a outra pessoa, além de indicar que o relacionamento seria baseado em dor. ""(i'm way down here wonderin' how i'm gonna get you"
17,I'm Easy,Keith Carradine,1976.0,0.6,False,False,False,False,"a letra romantiza a ideia de ser fácil de se aproveitar e de não ter limites em relacionamentos, o que pode ser problemático pois pode naturalizar práticas abusivas ou manipulativas. além disso, a frase ""i can't put bars on my insides"" sugere uma falta de autocontrole e de defesa pessoal, o que também pode ser problemático em relacionamentos saudáveis."
18,Take Good Care Of Her,Adam Wade,1961.0,0.6,False,True,True,False,"""(i suppose i ought to say congratulations for you've won the only girl i ever loved but i hurt too much to face the situation just take good care of her take good care of her)"" expressa uma dependência emocional e possessividade, pois o autor deseja controlar a relação da ex-namorada com outra pessoa. ""(if she's happy that will be my consolation so, take good care of her take good care of her)"" também expressa uma dependência emocional, pois o autor deseja que a ex-namorada seja feliz para ter consolação de seu sofrimento."
19,Prayer For The Dying,Seal,1994.0,0.6,False,False,True,False,"""(just say, 'die,' and that would be pessimistic)"", ""(i may not know what's got into me)"": romantiza a ideia de suicídio e sofrimento, o que pode ser problemático. a letra também glamuriza relacionamentos baseados em dor e submissão, o que pode ser problemático se interpretado fora do contexto de práticas consensuais. além disso, a frase ""(i just don't know what's got into me)"" sugere uma dependência emocional descontrolada, que pode ser interpretada como uma forma de dependência tóxica"
