indice,titulo,artista,ano,score,emotional_abuse,jealousy_possessive,dependency,violence_or_betrayal,justificativa
84,"Goodbye, Jimmy, Goodbye",Kathy Linden,1959.0,0.3,False,False,True,False,
86,Endlessly,Brook Benton,1959.0,0.6,False,False,True,False,
87,Heartaches By The Number,Guy Mitchell,1959.0,0.3,False,False,True,False,
88,Sea Cruise,Frankie Ford,1959.0,0.3,False,False,True,False,
89,That's Why,Jackie Wilson,1959.0,0.2,False,False,True,False,
91,Kissin' Time,Bobby Rydell,1959.0,0.3,False,False,True,False,
92,My Wish Came True,Elvis Presley,1959.0,0.3,False,False,True,False,
93,Morgen,Ivo Robic,1959.0,0.3,False,False,True,False,
96,Take A Message To Mary,Everly Brothers,1959.0,0.5,False,False,True,False,
97,Battle Hymn Of The Republic,Mormon Tabernacle Choir,1959.0,0.3,False,False,True,False,
99,(Seven Little Girls) Sitting In The Back Seat,Paul Evans and The Curls,1959.0,0.0,False,False,False,False,
100,"Theme From ""A Summer Place""",Percy Faith,1960.0,0.3,False,False,True,False,
101,He'll Have To Go,Jim Reeves,1960.0,0.6,False,True,True,False,
102,Cathy's Clown,Everly Brothers,1960.0,0.3,False,False,True,False,
103,Running Bear,Johnny Preston,1960.0,0.3,False,False,True,False,
104,Teen Angel,Mark Dinning,1960.0,0.2,False,False,False,False,
105,I'm Sorry,Brenda Lee,1960.0,0.3,False,False,True,False,
106,It's Now Or Never,Elvis Presley,1960.0,0.3,False,False,True,False,
107,Handy Man,Jimmy Jones,1960.0,0.6,False,False,True,False,
108,Stuck On You,Elvis Presley,1960.0,0.6,False,True,True,False,
109,The Twist,Chubby Checker,1960.0,0.0,False,False,False,False,
110,Everybody's Somebody's Fool,Connie Francis,1960.0,0.6,False,False,True,False,
111,Wild One,Bobby Rydell,1960.0,0.8,True,True,True,False,
112,Greenfields,Brothers Four,1960.0,0.6,False,False,True,False,
113,What In The World's Come Over You,Jack Scott,1960.0,0.3,False,False,True,False,
114,El Paso,Marty Robbins,1960.0,0.5,False,False,False,True,
115,Alley Oop,Hollywood Argyles,1960.0,0.0,False,False,False,False,
116,My Heart Has A Mind Of Its Own,Connie Francis,1960.0,0.6,False,True,True,False,
117,Sweet Nothin's,Brenda Lee,1960.0,0.3,False,False,True,False,
118,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,1960.0,0.0,False,False,False,False,
119,Only The Lonely,Roy Orbison,1960.0,0.3,False,False,True,False,
120,Where Or When,Dion and The Belmonts,1960.0,0.3,False,False,True,False,
121,Sixteen Reasons,Connie Stevens,1960.0,0.0,False,False,False,False,
122,Puppy Love,Paul Anka,1960.0,0.3,False,False,True,False,
123,Why,Frankie Avalon,1960.0,0.3,False,False,True,False,
124,"Walk, Dont Run",Ventures,1960.0,0.3,False,False,True,False,
125,Save The Last Dance For Me,Drifters,1960.0,0.6,False,True,True,False,
127,Sink The Bismark,Johnny Horton,1960.0,0.6,False,False,False,True,
128,Chain Gang,Sam Cooke,1960.0,0.0,False,False,False,False,
129,Let It Be Me,Everly Brothers,1960.0,0.3,False,False,True,False,
130,Good Timin',Jimmy Jones,1960.0,0.0,False,False,False,False,
131,Beyond The Sea,Bobby Darin,1960.0,0.0,False,False,False,False,
132,Go Jimmy Go,Jimmy Clanton,1960.0,0.0,False,False,False,False,
133,Night,Jackie Wilson,1960.0,0.3,False,False,True,False,
135,The Big Hurt,Toni Fisher,1960.0,0.6,False,False,True,False,
136,Because They're Young,Duane Eddy,1960.0,0.3,False,False,True,False,
137,Lonely Blue Boy,Conway Twitty,1960.0,0.3,False,False,True,False,
138,Pretty Blue Eyes,Steve Lawrence,1960.0,0.3,False,False,True,False,
140,Paper Roses,Anita Bryant,1960.0,0.3,False,False,True,False,
142,I Want To Be Wanted,Brenda Lee,1960.0,0.3,False,False,True,False,
143,Mule Skinner Blues,Fendermen,1960.0,0.0,False,False,False,False,
144,Cradle Of Love,Johnny Preston,1960.0,0.0,False,False,False,False,
145,You've Got What It Takes,Marv Johnson,1960.0,0.3,False,False,True,False,
146,"Please Help Me, I'm Falling",Hank Locklin,1960.0,0.3,False,False,True,False,
147,Love You So,Ron Holden,1960.0,0.5,False,False,True,False,
148,Finger Poppin' Time,Hank Ballard and The Midnighters,1960.0,0.0,False,False,False,False,
149,Harbor Lights,Platters,1960.0,0.3,False,True,True,False,
150,Let The Little Girl Dance,Billy Bland,1960.0,0.0,False,False,False,False,
151,He'll Have To Stay,Jeanne Black,1960.0,0.6,False,True,False,False,
154,A Million To One,Jimmy Charles,1960.0,0.3,False,False,True,False,
156,The Old Lamplighter,Browns,1960.0,0.0,False,False,False,False,
158,Devil Or Angel,Bobby Vee,1960.0,0.3,False,False,True,False,
160,Forever,Little Dippers,1960.0,0.3,False,False,True,False,
162,Kiddio,Brook Benton,1960.0,0.5,False,False,True,False,
163,Mission Bell,Donnie Brooks,1960.0,0.3,False,False,True,False,
164,I Love The Way You Love,Marv Johnson,1960.0,0.3,False,False,True,False,
165,It's Time To Cry,Paul Anka,1960.0,0.6,False,False,True,False,
166,Tell Laura I Love Her,Ray Peterson,1960.0,0.3,False,False,True,False,
167,Mama,Connie Francis,1960.0,0.3,False,False,True,False,
168,Footsteps,Steve Lawrence,1960.0,0.3,False,False,True,False,
170,That's All You Gotta Do,Brenda Lee,1960.0,0.3,False,False,True,False,
171,Walking To New Orleans,Fats Domino,1960.0,0.3,False,False,True,False,
172,Among My Souvenirs,Connie Francis,1960.0,0.3,False,False,True,False,
173,Swingin' School,Bobby Rydell,1960.0,0.5,False,False,True,False,
174,A Rockin' Good Way,Dinah Washington and Brook Benton,1960.0,0.3,False,False,True,False,
175,Stairway To Heaven,Neil Sedaka,1960.0,0.3,False,False,True,False,
176,My Home Town,Paul Anka,1960.0,0.3,False,False,True,False,
177,Georgia On My Mind,Ray Charles,1960.0,0.0,False,False,False,False,
178,Cherry Pie,Skip and Flip,1960.0,0.3,False,False,True,False,
179,Wonderful World,Sam Cooke,1960.0,0.0,False,False,False,False,
181,Lady Luck,Lloyd Price,1960.0,0.3,False,False,True,False,
183,Happy-Go-Lucky Me,Paul Evans,1960.0,0.3,False,False,True,False,
184,Young Emotions,Ricky Nelson,1960.0,0.3,False,False,True,False,
185,Dreamin',Johnny Burnette,1960.0,0.3,False,False,True,False,
186,Poetry In Motion,Johnny Tillotson,1960.0,0.3,False,False,True,False,
188,You Talk Too Much,Joe Jones,1960.0,0.3,False,False,True,False,
189,Beatnik Fly,Johnny and The Hurricanes,1960.0,0.3,False,False,True,False,
190,When Will I Be Loved,Everly Brothers,1960.0,0.6,False,True,False,False,
191,Let's Think About Livin',Bob Luman,1960.0,0.3,False,False,True,False,
192,Heartaches By The Number,Guy Mitchell,1960.0,0.3,False,False,True,False,
193,In My Little Corner Of The World,Anita Bryant,1960.0,0.2,False,False,True,False,
194,Doggin' Around,Jackie Wilson,1960.0,0.5,False,True,False,False,
195,Little Bitty Girl,Bobby Rydell,1960.0,0.3,False,False,True,False,
196,Money,Barret Strong,1960.0,0.5,False,False,True,False,
198,Lonely Weekends,Charlie Rich,1960.0,0.3,False,False,True,False,
199,Sandy,Larry Hall,1960.0,0.3,False,False,True,False,
200,Tossin' And Turnin',Bobby Lewis,1961.0,0.3,False,False,True,False,
201,I Fall To Pieces,Patsy Cline,1961.0,0.3,False,True,True,False,
203,Cryin',Roy Orbison,1961.0,0.6,False,False,True,False,
206,Pony Time,Chubby Checker,1961.0,0.0,False,False,False,False,
207,Wheels,String-a-longs,1961.0,0.0,False,False,False,False,
208,Raindrops,Dee Clark,1961.0,0.3,False,False,True,False,
210,Calcutta,Lawrence Welk,1961.0,0.0,False,False,False,False,
211,Take Good Care Of My Baby,Bobby Vee,1961.0,0.3,False,False,True,False,
212,Running Scared,Roy Orbison,1961.0,0.5,False,False,False,False,
213,Dedicated To The One I Love,Shirelles,1961.0,0.3,False,False,True,False,
214,Last Night,Mar-Keys,1961.0,0.3,False,False,True,False,
215,Will You Love Me Tomorrow,Shirelles,1961.0,0.3,False,False,True,False,
216,Exodus,Ferrante and Teicher,1961.0,0.3,False,False,True,False,
217,Where The Boys Are,Connie Francis,1961.0,0.3,False,False,True,False,
220,Mother-In-Law,Ernie K-Doe,1961.0,0.3,False,False,True,False,
221,Bristol Stomp,Dovells,1961.0,0.0,False,False,False,False,
222,Travelin' Man,Ricky Nelson,1961.0,0.3,False,True,False,False,
225,A Hundred Pounds Of Clay,Gene Mcdaniels,1961.0,0.0,False,False,False,False,
226,The Mountain's High,Dick and Deedee,1961.0,0.5,False,False,False,False,
227,Don't Worry,Marty Robbins,1961.0,0.3,False,False,True,False,
229,Portrait Of My Love,Steve Lawrence,1961.0,0.3,False,False,True,False,
230,Quarter To Three,"Gary ""U.S."" Bonds",1961.0,0.0,False,False,False,False,
232,Calendar Girl,Neil Sedaka,1961.0,0.0,False,False,False,False,
233,I Like It Like That,Chris Kenner,1961.0,0.0,False,False,False,False,
235,Don't Bet Money Honey,Linda Scott,1961.0,0.6,False,False,True,False,
236,Without You,Johnny Tillotson,1961.0,0.3,False,False,True,False,
238,Little Sister,Elvis Presley,1961.0,0.3,False,True,True,False,
239,Blue Moon,Marcels,1961.0,0.3,False,False,True,False,
240,Daddy's Home,Shep and The Limelites,1961.0,0.3,False,False,True,False,
241,This Time,Troy Shondell,1961.0,0.3,False,False,True,False,
242,I Don't Know Why But I Do,"Clarence ""Frog Man"" Henry",1961.0,0.0,False,False,False,False,
243,Asia Minor,Kokomo,1961.0,0.5,False,True,True,False,
244,Hello Walls,Faron Young,1961.0,0.5,False,False,True,False,
245,Runaround Sue,Dion,1961.0,0.3,False,False,True,False,
246,Yellow Bird,Arthur Lyman,1961.0,0.3,False,True,False,False,
247,Hurt,Timi Yuro,1961.0,0.3,False,False,True,False,
248,Hello Mary Lou,Ricky Nelson,1961.0,0.3,False,False,True,False,
249,There's A Moon Out Tonight,Capris,1961.0,0.0,False,False,False,False,
250,Surrender,Elvis Presley,1961.0,0.3,False,False,True,False,
251,I Love How You Love Me,Paris Sisters,1961.0,0.0,False,False,False,False,
252,Ya Ya,Lee Dorsey,1961.0,0.3,False,False,True,False,
253,School Is Out,"Gary ""U.S."" Bonds",1961.0,0.0,False,False,False,False,
255,You Don't Know What You've Got (Until You Lose It),Ral Donner,1961.0,0.3,False,False,True,False,
256,Walk Right Back,Everly Brothers,1961.0,0.3,False,False,True,False,
257,The Way You Look Tonight,Lettermen,1961.0,0.3,False,False,True,False,
258,Moody River,Pat Boone,1961.0,0.6,False,False,True,False,
259,One Mint Julep,Ray Charles,1961.0,0.3,False,False,True,False,
260,Take Good Care Of Her,Adam Wade,1961.0,0.3,False,False,True,False,
262,Stand By Me,Ben E. King,1961.0,0.3,False,False,True,False,
263,Spanish Harlem,Ben E. King,1961.0,0.3,False,True,False,False,
264,It's Gonna Work Out Fine,Ike and Tina Turner,1961.0,0.3,False,False,True,False,
267,Hats Off To Larry,Del Shannon,1961.0,0.5,False,True,True,False,
268,Those Oldies But Goodies,Caesar and The Romans,1961.0,0.3,False,False,True,False,
269,The Fly,Chubby Checker,1961.0,0.3,False,True,False,False,
270,(Marie's The Name) His Latest Flame,Elvis Presley,1961.0,0.3,False,True,False,False,
271,Wonderland By Night,Bert Kaempfert and His Orch.,1961.0,0.5,False,False,True,False,
272,Bless You,Tony Orlando,1961.0,0.3,False,False,True,False,
273,I've Told Every Little Star,Linda Scott,1961.0,0.3,False,False,True,False,
274,One Track Mind,Bobby Lewis,1961.0,0.3,False,False,True,False,
275,Angel Baby,Rosie and The Originals,1961.0,0.3,False,False,True,False,
276,Pretty Little Angel Eyes,Curtis Lee,1961.0,0.3,False,False,True,False,
277,Think Twice,Brook Benton,1961.0,0.3,False,False,True,False,
278,Does Your Chewing Gum Lose Its Flavor (On The Bedpost Overnight),Lonnie Donegan,1961.0,0.5,False,False,True,False,
279,Breakin' In A Brand New Broken Heart,Connie Francis,1961.0,0.3,False,False,True,False,
281,Let The Four Winds Blow,Fats Domino,1961.0,0.3,False,False,True,False,
283,My Kind Of Girl,Matt Monroe,1961.0,0.3,False,False,True,False,
284,"Tonight My Love, Tonight",Paul Anka,1961.0,0.3,False,False,True,False,
285,Big Bad John,Jimmy Dean,1961.0,0.0,False,False,False,False,
286,Good Time Baby,Bobby Rydell,1961.0,0.0,False,False,False,False,
287,San Antonio Rose,Floyd Cramer,1961.0,0.3,False,False,True,False,
288,Rubber Ball,Bobby Vee,1961.0,0.3,False,True,True,False,
289,Missing You,Ray Peterson,1961.0,0.3,False,False,True,False,
290,Dum Dum,Brenda Lee,1961.0,0.6,False,False,True,False,
292,You Can Depend On Me,Brenda Lee,1961.0,0.6,False,False,True,False,
293,Let's Twist Again,Chubby Checker,1961.0,0.0,False,False,False,False,
294,Take Five,Dave Brubeck,1961.0,0.0,False,False,False,False,
295,Are You Lonesome Tonight,Elvis Presley,1961.0,0.6,False,False,True,False,
296,Sea Of Heartbreak,Don Gibson,1961.0,0.6,False,False,True,False,
297,More Money For You And Me Medley,Four Preps,1961.0,0.0,False,False,False,False,
298,You Must Have Been A Beautiful Baby,Bobby Darin,1961.0,0.3,False,False,True,False,
299,Please Stay,Drifters,1961.0,0.6,False,False,True,False,
300,Stranger On The Shore,Mr. Acker Bilk,1962.0,0.0,False,False,False,False,
301,I Can't Stop Loving You,Ray Charles,1962.0,0.3,False,False,True,False,
302,Mashed Potato Time,Dee Dee Sharp,1962.0,0.0,False,False,False,False,
303,Roses Are Red (My Love),Bobby Vinton,1962.0,0.3,False,False,True,False,
304,The Stripper,David Rose,1962.0,0.0,False,False,False,False,
305,Johnny Angel,Shelley Fabares,1962.0,0.3,False,False,True,False,
306,The Loco-Motion,Little Eva,1962.0,0.0,False,False,False,False,
307,Let Me In,Sensations,1962.0,0.3,False,False,True,False,
308,The Twist,Chubby Checker,1962.0,0.0,False,False,False,False,
309,Soldier Boy,Shirelles,1962.0,0.3,False,False,True,False,
310,Hey! Baby,Bruce Channel,1962.0,0.5,False,True,False,False,
311,The Wanderer,Dion,1962.0,0.5,False,False,True,False,
312,Duke Of Earl,Gene Chandler,1962.0,0.3,False,False,True,False,
313,Palisades Park,Freddy Cannon,1962.0,0.3,False,False,True,False,
314,Breaking Up Is Hard To Do,Neil Sedaka,1962.0,0.3,False,False,True,False,
315,Wolverton Mountain,Claude King,1962.0,0.8,False,True,True,False,
316,Slow Twistin',Chubby Checker,1962.0,0.3,False,False,True,False,
317,It Keeps Right On a-Hurtin',Johnny Tillotson,1962.0,0.3,False,False,True,False,
318,The One Who Really Loves You,Mary Wells,1962.0,0.6,False,True,True,False,
319,Good Luck Charm,Elvis Presley,1962.0,0.2,False,False,True,False,
320,Midnight In Moscow,Kenny Ball,1962.0,0.3,False,False,True,False,
322,Twistin' The Night Away,Sam Cooke,1962.0,0.0,False,False,False,False,
323,Wah-Watusi,Orlons,1962.0,0.0,False,False,False,False,
324,Peppermint Twist,Joey Dee and The Starlighters,1962.0,0.0,False,False,False,False,
325,Break It To Me Gently,Brenda Lee,1962.0,0.3,False,False,True,False,
326,Playboy,Marvelettes,1962.0,0.6,False,True,False,False,
327,Ramblin' Rose,Nat King Cole,1962.0,0.3,False,False,True,False,
328,Sealed With A Kiss,Brian Hyland,1962.0,0.3,False,False,True,False,
330,Don't Break The Heart That Loves You,Connie Francis,1962.0,0.6,False,True,True,False,
331,Dear Lady Twist,Gary U.S. Bonds,1962.0,0.0,False,False,False,False,
332,Norman,Sue Thompson,1962.0,0.6,False,True,True,False,
333,Love Letters,Ketty Lester,1962.0,0.3,False,False,True,False,
334,Party Lights,Claudine Clark,1962.0,0.3,False,True,False,False,
335,Cotton Fields,Highwaymen,1962.0,0.3,False,False,True,False,
337,Twist And Shout,Isley Brothers,1962.0,0.0,False,False,False,False,
338,Theme From Dr. Kildare,Richard Chamberlain,1962.0,0.3,False,False,True,False,
340,"Lover, Please",Clyde Mcphatter,1962.0,0.3,False,False,True,False,
341,I Know,Barbara George,1962.0,0.3,False,False,True,False,
342,Young World,Rick Nelson,1962.0,0.3,False,False,True,False,
343,Baby It's You,Shirelles,1962.0,0.6,False,False,True,False,
344,Speedy Gonzales,Pat Boone,1962.0,0.5,False,True,False,False,
345,A Little Bitty Tear,Burl Ives,1962.0,0.3,False,False,True,False,
346,Crying In The Rain,Everly Brothers,1962.0,0.3,False,False,True,False,
347,Al Di La',Emillo Pericoli,1962.0,0.3,False,False,True,False,
348,Shout! Shout! (Knock Yourself Out),Ernie Maresca,1962.0,0.0,False,False,False,False,
349,What's Your Name,Don and Juan,1962.0,0.3,False,False,True,False,
350,Smoky Places,Corsairs,1962.0,0.8,False,False,True,False,
351,Having A Party,Sam Cooke,1962.0,0.0,False,False,False,False,
352,Green Onions,Booker T and The MG's,1962.0,0.2,False,False,False,False,
353,You Don't Know Me,Ray Charles,1962.0,0.3,False,False,True,False,
354,Sherry,Four Seasons,1962.0,0.2,False,False,True,False,
355,Johnny Get Angry,Joanie Sommers,1962.0,0.5,False,False,True,False,
356,Can't Help Falling In Love,Elvis Presley,1962.0,0.3,False,False,True,False,
357,Shout,Joey Dee,1962.0,0.6,False,True,True,False,
358,Rinky Dink,"Dave ""Baby"" Cortez",1962.0,0.3,False,False,True,False,
359,Moon River,Henry Mancini,1962.0,0.0,False,False,False,False,
360,Ahab The Arab,Ray Stevens,1962.0,0.3,False,False,True,False,
361,Things,Bobby Darin,1962.0,0.3,False,False,True,False,
362,The Man Who Shot Liberty Valance,Gene Pitney,1962.0,0.3,False,False,True,False,
363,You Belong To Me,Duprees,1962.0,0.6,False,True,True,False,
364,Dream Baby,Roy Orbison,1962.0,0.3,False,False,True,False,
365,Snap Your Fingers,Joe Henderson,1962.0,0.3,False,False,True,False,
366,Lovers Who Wander,Dion,1962.0,0.5,False,False,True,False,
367,Let's Dance,Chris Montez,1962.0,0.0,False,False,False,False,
368,Cindy's Birthday,Johnny Crawford,1962.0,0.3,False,False,True,False,
370,You'll Lose A Good Thing,Barbara Lynn,1962.0,0.3,False,False,True,False,
371,Uptown,Crystals,1962.0,0.3,False,False,True,False,
372,Everybody Loves Me But You,Brenda Lee,1962.0,0.3,False,False,True,False,
374,Venus In Blue Jeans,Jimmy Clanton,1962.0,0.3,False,False,True,False,
375,Love Me Warm And Tender,Paul Anka,1962.0,0.3,False,False,True,False,
376,Teen Age Idol,Rick Nelson,1962.0,0.3,False,False,True,False,
377,She's Got You,Patsy Cline,1962.0,0.3,False,True,True,False,
378,Dear One,Larry Finnegan,1962.0,0.3,False,False,True,False,
379,Her Royal Majesty,James Darren,1962.0,0.6,False,False,True,False,
380,Old Rivers,Walter Brennan,1962.0,0.0,False,False,False,False,
381,Funny Way Of Laughin',Burl Ives,1962.0,0.3,False,False,True,False,
382,A Swingin' Safari,Billy Vaughn,1962.0,0.0,False,False,False,False,
384,P.T. 109,Jimmy Dean,1962.0,0.0,False,False,False,False,
385,Little Diane,Dion,1962.0,0.7,False,False,True,False,
387,"Twist, Twist Senora",Gary U.S. Bonds,1962.0,0.3,False,False,True,False,
388,Twistin' Matilda,Jimmy Soul,1962.0,0.8,False,False,True,False,
391,Soul Twist,King Curtis,1962.0,0.0,False,False,False,False,
392,I'll Never Dance Again,Bobby Rydell,1962.0,0.6,False,True,True,False,
393,I'm Blue,Ikettes,1962.0,0.3,False,False,True,False,
394,Where Have All The Flowers Gone,Kingston Trio,1962.0,0.0,False,False,False,False,
395,"(Girls, Girls, Girls) Were Made To Love",Eddie Hodges,1962.0,0.8,False,True,True,False,
396,Town Without Pity,Gene Pitney,1962.0,0.2,False,False,True,False,
397,If I Had A Hammer,"Peter, Paul and Mary",1962.0,0.0,False,False,False,False,
399,Surfin' Safari,Beach Boys,1962.0,0.0,False,False,False,False,
400,Sugar Shack,Jimmy Gilmer and The Fireballs,1963.0,0.6,False,True,True,False,
401,Surfin' U.S.A.,Beach Boys,1963.0,0.0,False,False,False,False,
402,The End Of The World,Skeeter Davis,1963.0,0.3,False,False,True,False,
403,Rhythm Of The Rain,Cascades,1963.0,0.6,False,False,True,False,
404,He's So Fine,Chiffons,1963.0,0.5,False,True,False,False,
405,Blue Velvet,Bobby Vinton,1963.0,0.3,False,False,True,False,
406,Hey Paula,Paul and Paula,1963.0,0.6,False,False,True,False,
407,Fingertips II,Little Stevie Wonder,1963.0,0.0,False,False,False,False,
408,Washington Square,Village Stompers,1963.0,0.3,False,False,True,False,
409,It's All Right,Impressions,1963.0,0.3,False,False,True,False,
410,Can't Get Used To Losing You,Andy Williams,1963.0,0.6,False,False,True,False,
411,My Boyfriend's Back,Angels,1963.0,0.8,False,True,False,True,
413,She's A Fool,Lesley Gore,1963.0,0.6,False,False,False,False,
414,So Much In Love,Tymes,1963.0,0.3,False,False,True,False,
416,Blowin' In The Wind,"Peter, Paul and Mary",1963.0,0.0,False,False,False,False,
417,I'm Leaving It Up To You,Dale and Grace,1963.0,0.3,False,False,True,False,
418,Deep Purple,Nino Tempo and April Stevens,1963.0,0.3,False,False,True,False,
419,Wipe Out,Surfaris,1963.0,0.3,False,False,True,False,
420,I Love You Because,Al Martino,1963.0,0.3,False,False,True,False,
421,Wild Weekend,Rebels,1963.0,0.3,False,False,True,False,
422,You're The Reason I'm Living,Bobby Darin,1963.0,0.6,False,False,True,False,
423,Walk Like A Man,Four Seasons,1963.0,0.3,False,False,True,False,
424,Mockingbird,Inez Foxx,1963.0,0.3,False,False,True,False,
426,Pipeline,Chantays,1963.0,0.3,False,False,True,False,
427,Surf City,Jan and Dean,1963.0,0.3,False,True,False,False,
428,It's My Party,Lesley Gore,1963.0,0.5,False,True,False,False,
430,You Can't Sit Down,Dovells,1963.0,0.0,False,False,False,False,
431,Heat Wave,Martha and The Vandellas,1963.0,0.3,False,False,True,False,
432,Denise,Randy and The Rainbows,1963.0,0.0,False,False,False,False,
433,Walk Right In,Rooftop Singers,1963.0,0.0,False,False,False,False,
434,If You Wanna Be Happy,Jimmy Soul,1963.0,0.5,False,True,False,False,
435,Surfer Girl,Beach Boys,1963.0,0.3,False,False,True,False,
436,If I Had A Hammer,Trini Lopez,1963.0,0.0,False,False,False,False,
437,Everybody,Tommy Roe,1963.0,0.0,False,False,False,False,
438,Easier Said Than Done,Essex,1963.0,0.3,False,False,True,False,
439,Ruby Baby,Dion,1963.0,0.6,False,True,True,False,
441,Our Day Will Come,Ruby and The Romantics,1963.0,0.3,False,False,True,False,
